"tool_id","purpose","read_write","Revit category","inputs","outputs","side_effects","validation","status","source_file"
"export_to_excel","Export elements by category to an Excel (.xlsx) file with color-coded columns. Column colors: green=instance parameter, yellow=type parameter, red=read-only. File is saved to the specified path or Desktop by default. GUIDANCE: - ""Export all doors to Excel"": categories=[""Doors""] - ""Export walls with Mark, Width, Height to Excel"": categories=[""Walls""], parameterNames=[""Mark"",""Width"",""Height""] - ""Export everything including type parameters"": includeTypeParameters=true - ""Save to specific path"": filePath=""C:/Exports/doors.xlsx""","READ","Dynamic category/categories","categories?:array; parameterNames?:array; includeTypeParameters?:boolean=false; includeElementId?:boolean=true; filePath?:string; sheetName?:string=""Export""; colorCodeColumns?:boolean=true; maxElements?:number=10000","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/export_to_excel.ts"
"filter_by_parameter_value","Filter and select elements by parameter value conditions.","READ","Dynamic category/categories","categories:string; parameterName:schema; condition:enum; value?:schema; caseSensitive?:boolean=false; scope?:schema=""whole_model""; parameterType?:schema=""both""; returnParameters?:string","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/filter_by_parameter_value.ts"
"find_undimensioned_elements","Find elements in the active view (or a specified view) that are not referenced by any dimension. Useful for QA/QC audits to ensure all structural and architectural elements are properly dimensioned.","READ","Dimensions","categories?:string; viewId?:schema; limit?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/find_undimensioned_elements.ts"
"find_untagged_elements","Find elements in the active view (or a specified view) that do not have any tags. Useful for QA/QC audits to ensure all required elements are properly tagged before issuing drawings.","READ","Dynamic category/categories","categories?:string; viewId?:schema; limit?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/find_untagged_elements.ts"
"get_available_family_types","Get available family types in the current Revit project. You can filter by category and family name, and limit the number of returned types. GUIDANCE: - Find wall types: categoryFilter=""Walls"" — returns all available wall families and types - Find door types: categoryFilter=""Doors"" — needed before create_point_based_element - Search all families: omit filter to see every loaded family type TIPS: - Always call this before creating elements to get exact family/type names - Use load_family to load additional families from .rfa files - Family names are case-sensitive — copy exact names from results","READ","Families / types","categoryList?:string; familyNameFilter?:schema; limit?:schema; compact?:schema=false","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_available_family_types.ts"
"get_compound_structure","Get the compound structure (layer stratigraphy) of a system family type (wall, floor, roof, ceiling). Returns all layers with thickness, material, and function.","READ","Dynamic category/categories","typeId?:schema; typeName?:schema; category?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_compound_structure.ts"
"get_connection_status","Read connection status, active Revit model identity, NBS project, missing parameter bindings, the sync defaults (link mode, fields) the user saved for this model in Revit Settings > NBS Nordic, and the official NBS addin's own Link Type (nativeLinkType code, decoded as nativeLinkMode). Never returns API keys.","READ","NBS / project metadata","","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_project_connection.ts"
"get_current_view_elements","Get elements from the current active view in Revit. You can filter by model categories (like Walls, Floors) or annotation categories (like Dimensions, Text). Use includeHidden to show/hide invisible elements and limit to control the number of returned elements. GUIDANCE: - See what's in the active view: call with no parameters - Filter by category: use categoryFilter to narrow results (e.g. ""Walls"", ""Doors"") - Use before operate_element to find elements to select/hide/isolate TIPS: - Returns element IDs, names, categories — use these IDs with other tools - Large views may return many elements — use categoryFilter to limit results - Combine with get_element_parameters to inspect specific elements","READ","Views","modelCategoryList?:string; annotationCategoryList?:string; includeHidden?:schema; limit?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_current_view_elements.ts"
"get_current_view_info","Get details about the active view (type, scale, crop, etc.).","READ","Views","","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_current_view_info.ts"
"get_element_parameters","Get all parameters (instance and type) of one or more Revit elements by their IDs. Returns parameter names, values, storage types, and whether they are read-only or shared. GUIDANCE: - Inspect single element: provide elementId to see all instance + type parameters - Discover parameter names: useful before export_elements_data or set_element_parameters - Check current values before modifying with set_element_parameters TIPS: - Returns both instance and type parameters with current values - Parameter names from this tool can be used in set_element_parameters, export_elements_data, create_schedule - Read-only parameters are marked — these cannot be modified","READ","Dynamic category/categories","elementIds:number; includeTypeParameters?:schema; compact?:schema=false","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_element_parameters.ts"
"get_elements_by_workset","Get all elements belonging to a specific workset, with category summary and optional filtering.","READ","Worksets","worksetName:schema; categoryFilter?:string; maxElements?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_elements_by_workset.ts"
"get_elements_in_spatial_volume","Find all elements contained within spatial volumes: rooms, areas, or a custom bounding box. Returns elements grouped by volume with category, family, and type info. Use categoryFilter to narrow results. GUIDANCE: - Elements in a room: volumeType=""room"", volumeIds=[roomId] - Elements in area: volumeType=""area"", volumeIds=[areaId] - Custom bounding box: volumeType=""custom"", provide min/max XYZ in mm - Filter by category: categoryFilter=[""Furniture"",""Doors""] to limit results TIPS: - Great for room-based quantity takeoffs - Use export_room_data to get room IDs first - CategoryFilter narrows results to specific element types - Combine with export_elements_data for detailed parameter extraction","READ","Dynamic category/categories","volumeIds?:array; volumeType?:enum; categoryFilter?:array; customMinX?:number; customMinY?:number; customMinZ?:number; customMaxX?:number; customMaxY?:number; customMaxZ?:number; maxElementsPerVolume?:number=100","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_elements_in_spatial_volume.ts"
"get_linked_elements","Query elements from linked Revit models by category.","READ","Dynamic category/categories","linkName?:string; categories?:array; parameterNames?:array; maxElements?:number=5000","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_linked_elements.ts"
"get_material_properties","Get detailed physical/thermal properties of a material.","READ","Materials","materialId?:schema; materialName?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_material_properties.ts"
"get_material_quantities","Calculate material quantities and takeoffs from the current Revit project. Returns detailed information about each material including name, class, area, volume, and element counts. Useful for cost estimation, material ordering, and sustainability analysis. GUIDANCE: - Material takeoff: returns areas and volumes per material across selected categories - Cost estimation: combine quantities with material costs - Compare alternatives: run for different design options TIPS: - Filter by category for focused takeoffs (e.g. just walls or floors) - Values are in project display units (m², m³ or ft², ft³) - Use get_materials and get_material_properties for material details","READ","Materials","categoryFilters?:string; selectedElementsOnly?:schema=false; maxResults?:schema=50","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_material_quantities.ts"
"get_materials","List materials in the project, optionally filtered by class.","READ","Materials","materialClass?:schema; nameFilter?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_materials.ts"
"get_phases","List all phases in the project with their sequence order.","READ","Generic / input-selected","includePhaseFilters?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_phases.ts"
"get_project_info","Get comprehensive project information from the active Revit document, including project metadata, phases, worksets, Revit links, and levels. GUIDANCE: - Project overview: returns project name, address, levels, phases, worksets, links - Check levels before creating views or placing elements - Verify worksets and phases for proper element organization TIPS: - Call this first in a new project to understand structure - Level names are needed for create_view, create_level, and element placement - Phase information is important for renovation/phasing workflows","READ","Generic / input-selected","includePhases?:schema; includeWorksets?:schema; includeLinks?:schema; includeLevels?:schema; compact?:schema=false","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_project_info.ts"
"get_room_openings","Find doors and/or windows in rooms with full parameter extraction. Fast phase-aware lookup via FromRoom/ToRoom.","READ","Rooms","roomIds?:number; roomNumbers?:string; levelName?:schema; elementType?:schema=""both""; includeRoomParams?:schema=false; includeElementParams?:schema=false; parameterNames?:string; maxElementsPerRoom?:schema=100","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_room_openings.ts"
"get_schedule_data","Read data from an existing schedule view.","READ","Schedules","scheduleId?:schema; maxRows?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_schedule_data.ts"
"get_selected_elements","Get info about currently selected elements in Revit.","READ","Generic / input-selected","limit?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_selected_elements.ts"
"get_shared_parameters","List shared parameters and their category bindings.","READ","Dynamic category/categories","categoryFilter?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_shared_parameters.ts"
"get_warnings","Get all warnings/errors in the current Revit model. Warnings indicate issues like duplicate elements, overlapping geometry, room separation problems, etc. Useful for model health auditing and quality control. GUIDANCE: - Model health check: returns all Revit warnings/errors - Quality audit: identify duplicate elements, overlapping geometry, etc. - Pre-submission review: fix warnings before model delivery TIPS: - Warnings don't prevent work but indicate potential issues - Common warnings: duplicate instances, room not enclosed, overlapping walls - Use check_model_health for a comprehensive scored audit - Fix high-severity warnings first","READ","Dynamic category/categories","severityFilter?:schema; maxWarnings?:schema; categoryFilter?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_warnings.ts"
"get_worksets","List worksets with element counts and open/close status.","READ","Worksets","includeSystemWorksets?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/get_worksets.ts"
"import_from_excel","Import data from Excel into Revit element parameters.","WRITE","Generic / input-selected","filePath:string; sheetName?:string; dryRun?:boolean=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/import_from_excel.ts"
"import_table","Import a table (CSV/JSON) and apply values to element parameters.","WRITE","Generic / input-selected","filePath:schema; delimiter?:schema="",""; viewType?:schema=""drafting""; viewName?:schema; scale?:schema=1; textSize?:schema=2.0; includeHeaders?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/import_table.ts"
"lines_per_view_count","Count detail lines and model lines per view across the project. Helps identify views with excessive line work that may impact performance. Results sorted by total line count descending.","READ","Views","threshold?:schema; includeDetailLines?:schema; includeModelLines?:schema; limit?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/lines_per_view_count.ts"
"list_family_sizes","List all families in the project with their instance count, type count, and metadata. Helps identify bloated families (too many types), unused families (zero instances), and in-place families that may impact performance.","READ","Families / types","limit?:schema; sortBy?:schema; categories?:string","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/list_family_sizes.ts"
"list_schedulable_fields","List all available schedule fields for a given Revit category. Use before creating schedules to discover valid field names.","READ","Dynamic category/categories","categoryName:schema; scheduleType?:schema=""regular""","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/list_schedulable_fields.ts"
"load_family","Load a .rfa family, list loaded families, or duplicate a type.","MIXED","Families / types","action:schema; familyPath?:schema; categoryFilter?:schema; sourceTypeId?:schema; newTypeName?:schema","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/load_family.ts"
"load_selection","Load a previously saved element selection by name.","WRITE","Generic / input-selected","name?:schema; selectInView?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/load_selection.ts"
"manage_links","List, reload, unload, or remove linked Revit/CAD/IFC files.","MIXED","Generic / input-selected","action:schema; linkId?:schema","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/manage_links.ts"
"manage_project_parameters","Add, list, or delete project parameters with category bindings.","MIXED","Dynamic category/categories","action:schema; parameterName?:schema; dataType?:schema=""Text""; groupUnder?:schema=""PG_IDENTITY_DATA""; isInstance?:schema=true; categories?:string; isShared?:schema=false","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/manage_project_parameters.ts"
"manage_unplaced_views","List or delete views not placed on any sheet.","MIXED","Views","action?:schema=""list""; viewTypes?:enum; filterName?:schema; excludeNames?:string; dryRun?:schema=true; maxResults?:schema=500","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/manage_unplaced_views.ts"
"manage_view_templates","List, create, apply, or modify view templates.","MIXED","Views","action:enum; templateIds?:array; newName?:string; findText?:string; replaceText?:string; filterViewType?:string","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/manage_view_templates.ts"
"match_element_properties","Copy parameter values from a source element to target elements.","WRITE","Generic / input-selected","sourceElementId:schema; targetElementIds:number; parameterNames?:string; includeTypeParameters?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/match_element_properties.ts"
"measure_between_elements","Measure distance between two elements or points.","READ","Generic / input-selected","elementId1?:number; elementId2?:number; point1?:schema; point2?:schema; measureType?:schema=""center_to_center""","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/measure_between_elements.ts"
"modify_element","Move, rotate, or mirror elements in the model.","WRITE","Generic / input-selected","data?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/modify_element.ts"
"modify_schedule","Modify an existing Revit schedule: add/remove fields, set/clear filters, set/clear sorting, rename, or change display options.","WRITE","Schedules","scheduleId?:schema; scheduleName?:schema; action:schema; fieldNames?:string; filters?:object; sortFields?:object; newName?:schema; showTitle?:schema; showHeaders?:schema; showGridLines?:schema; isItemized?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/modify_schedule.ts"
"navigate_view","Navigate views: activate a view, zoom to fit, zoom to specific elements, zoom in/out, or close a view.","MIXED","Views","action:enum; viewId?:number; viewName?:string; elementIds?:array; zoomFactor?:number","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/navigate_view.ts"
"nbs_clone_project","Create a new NBS project by cloning an existing project and its setup (documented Pro feature). Not blank-project creation. Only call when the user requested a new project with this name/template. Does not connect the Revit model. On timeout, check nbs_list_projects before retrying to avoid duplicate projects.","WRITE","NBS / project metadata","templateProjectId:union; name:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","Mutates NBS and/or Revit project link","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/nbs_project_connection.ts"
"nbs_connect_project","Connect the active Revit model to an accessible NBS project and create the official NBS type/instance parameter bindings in one operation. Saves the project ID in the model; save the RVT to persist. Repeated connection to the same project is safe. Will not silently migrate an already linked model to a different project.","WRITE","NBS / project metadata","projectId:union; expectedModelKey?:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","Mutates NBS and/or Revit project link","Zod; API access; model identity; project migration guard; GUID/binding conflict and duplicate checks","KEEP + route through policy/audit wrapper","server/src/tools/nbs_project_connection.ts"
"nbs_create_component","Create an NBS Nordic building component.","WRITE","NBS / project metadata","projectId?:string; name:string; structure?:string; classificationcode?:schema; discipline_id?:number; measure_id?:number; active?:union=1; description?:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","Mutates NBS and/or Revit project link","Zod/NBS schema; rejects classification code with embedded serial before HTTP","KEEP + route through policy/audit wrapper","server/src/tools/nbs_create_component.ts"
"nbs_get_documents","List or fetch NBS Nordic documents.","READ","NBS / project metadata","projectId?:string; documentId?:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_get_documents.ts"
"nbs_get_project","Get an NBS Nordic project by ID, or the project connected to the active Revit model.","READ","NBS / project metadata","projectId?:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_get_project.ts"
"nbs_list_components","List NBS Nordic building components (bygningsdele). Defaults to the project connected to the active Revit model.","READ","NBS / project metadata","projectId?:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_list_components.ts"
"nbs_list_instances","List NBS Nordic model instances.","READ","NBS / project metadata","projectId?:string","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_list_instances.ts"
"nbs_list_projects","List NBS Nordic projects accessible with the configured API key. Requires NBS_API_KEY to be set.","READ","NBS / project metadata","","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_list_projects.ts"
"nbs_lookup_classification","Search NBS classification entries.","READ","NBS / project metadata","query:string; limit?:number=10","rawToolResponse/rawToolError with NBS/Revit JSON summary","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/nbs_lookup_classification.ts"
"nbs_push_quantities","Push verified quantity rows to NBS Nordic.","WRITE","NBS / project metadata","projectId?:string; rows:record","rawToolResponse/rawToolError with NBS/Revit JSON summary","Mutates NBS and/or Revit project link","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/nbs_push_quantities.ts"
"nbs_push_schedule","Push a Revit schedule payload to NBS Nordic.","WRITE","NBS / project metadata","projectId?:string; name:string; revitId:string; rows:array","rawToolResponse/rawToolError with NBS/Revit JSON summary","Mutates NBS and/or Revit project link","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/nbs_push_schedule.ts"
"operate_element","Perform operations: select, color, hide, unhide, pin, unpin, etc.","MIXED","Generic / input-selected","data:number=50","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/operate_element.ts"
"override_graphics","Override element graphics (color, lineweight, pattern, transparency).","WRITE","Generic / input-selected","elementIds:number; viewId?:schema; action?:schema; projectionLineColor?:number; surfaceForegroundColor?:number; transparency?:schema; halftone?:boolean; projectionLineWeight?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/override_graphics.ts"
"place_viewport","Place a view on a sheet at specified coordinates.","WRITE","Sheets / viewports","sheetId:number; viewId:number; positionX:schema; positionY:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/place_viewport.ts"
"purge_unused","Find and remove unused families, types, and materials.","WRITE","Generic / input-selected","dryRun?:schema; maxElements?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/purge_unused.ts"
"query_stored_data","Query data previously stored via store_project_data.","READ","Local/project storage","query_type:enum; project_id?:number; project_name?:string","rawToolResponse/rawToolError with storage result","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/query_stored_data.ts"
"rename_families","Rename loaded families with find/replace or prefix/suffix.","WRITE","Dynamic category/categories","operation:schema; prefix?:schema; suffix?:schema; findText?:schema; replaceText?:schema; categories?:string; scope?:schema=""whole_model""; renameTypes?:schema=false; dryRun?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/rename_families.ts"
"rename_views","Rename views using find/replace, prefix, suffix, or regex.","WRITE","Views","operation:schema; prefix?:schema; suffix?:schema; findText?:schema; replaceText?:schema; viewTypes?:enum; filterName?:schema; dryRun?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/rename_views.ts"
"rename_workset","Rename an existing user workset.","WRITE","Worksets","currentName:string; newName:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/rename_workset.ts"
"renumber_elements","Renumber rooms, doors, windows, or parking by location or name.","WRITE","Generic / input-selected","elementIds?:number; targetCategory?:schema; parameterName?:schema; startNumber?:schema; prefix?:string; suffix?:string; increment?:number; sortBy?:schema; dryRun?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/renumber_elements.ts"
"save_selection","Save the current element selection with a name for later recall.","WRITE","Generic / input-selected","name:schema; elementIds?:number; overwrite?:schema=false","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/save_selection.ts"
"say_hello","Display a greeting dialog in Revit. Tests MCP connection.","WRITE","Generic / input-selected","message?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/say_hello.ts"
"section_box_from_selection","Set or create a 3D section box fitted around selected elements.","WRITE","Generic / input-selected","elementIds?:number; useCurrentSelection?:schema; offsetMm?:schema; duplicateView?:schema; viewName?:schema; isolateElements?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/section_box_from_selection.ts"
"send_code_to_revit","Execute custom C# code in Revit. Your code runs inside a static method with signature: `public static object Execute(Document document, object[] parameters)`. Available variables: `document` (Autodesk.Revit.DB.Document — the active document), `parameters` (object[] — optional args). Auto-imported namespaces: System, System.Linq, Autodesk.Revit.DB, Autodesk.Revit.UI, System.Collections.Generic. Use `return` to send results back. In 'auto' mode your code runs inside a Transaction; use 'none' to manage transactions yourself.","WRITE","Generic / input-selected","code:schema; parameters?:string; transactionMode:schema=""auto""","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod and transactionMode only; arbitrary code remains high risk","KEEP; deny in agent allow-list by default","server/src/tools/send_code_to_revit.ts"
"set_active_workset","Set the active workset. New elements will be created in this workset.","WRITE","Worksets","worksetName:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_active_workset.ts"
"set_compound_structure","Set or replace the compound structure (layer stratigraphy) of a system family type. Optionally duplicate the type first to avoid modifying all instances.","WRITE","Dynamic category/categories","typeId?:schema; typeName?:schema; category?:schema; duplicateAsName?:schema; layers?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_compound_structure.ts"
"set_element_parameters","Set a parameter value on one or more elements.","WRITE","Dynamic category/categories","requests:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_element_parameters.ts"
"set_element_phase","Assign created/demolished phase to elements.","WRITE","Generic / input-selected","requests?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_element_phase.ts"
"set_element_workset","Move elements to a different workset.","WRITE","Worksets","requests:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_element_workset.ts"
"set_material_appearance","Modify the visual appearance of a material: shading color, transparency, shininess, smoothness, pattern colors, and rendering properties (diffuse color, glossiness).","WRITE","Materials","materialId?:schema; materialName?:schema; colorR?:schema; colorG?:schema; colorB?:schema; transparency?:schema; shininess?:schema; smoothness?:schema; useRenderAppearanceForShading?:schema; surfacePatternColorR?:schema; surfacePatternColorG?:schema; surfacePatternColorB?:schema; cutPatternColorR?:schema; cutPatternColorG?:schema; cutPatternColorB?:schema; renderColorR?:schema; renderColorG?:schema; renderColorB?:schema; renderTransparency?:schema; renderGlossiness?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_material_appearance.ts"
"set_material_assets","Modify the structural and/or thermal asset properties of a material. Values are in Revit internal units (metric: kg, m, Pa, W, etc.).","WRITE","Materials","materialId?:schema; materialName?:schema; density?:schema; youngModulus?:schema; poissonRatio?:schema; shearModulus?:schema; thermalExpansionCoefficient?:schema; minimumYieldStress?:schema; minimumTensileStrength?:schema; behavior?:schema; thermalConductivity?:schema; specificHeat?:schema; thermalDensity?:schema; emissivity?:schema; permeability?:schema; porosity?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_material_assets.ts"
"set_material_properties","Set identity and product information on Revit materials (Comments, Description, Manufacturer, Model, URL, Cost, Mark, Keynote, Name). Preview with dryRun=true.","WRITE","Materials","requests?:object; dryRun?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/set_material_properties.ts"
"set_view_crop","Control the crop box of a view: enable/disable, set bounds from elements with offset or explicit coordinates, show/hide crop boundary.","WRITE","Views","viewId?:number; cropActive?:boolean; cropVisible?:boolean; elementIds?:array; offsetMm?:number=300; minXMm?:number; minYMm?:number; maxXMm?:number; maxYMm?:number; reset?:boolean","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/set_view_crop.ts"
"store_project_data","Store key-value data in the Revit project as extensible storage.","WRITE","Local/project storage","project_name:string; project_path?:string; project_number?:string; project_address?:string; client_name?:string; project_status?:string; author?:string; metadata?:record","rawToolResponse/rawToolError with storage result","Writes project/extensible or local data","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/store_project_data.ts"
